Country,Year,CBR,GFR
USA,1973,7.4833811363047555,30.675084822556542
USA,1974,7.128218816444757,28.95754193264997
USA,1975,7.082080141681242,28.525646070181573
USA,1976,7.0749535068931335,28.2481702701628
USA,1977,7.143301196528285,28.270178332288374
USA,1978,7.2977748098840705,28.65284855140493
USA,1979,7.384241885396665,28.784671125745604
USA,1980,7.557870576003038,29.287220919274638
USA,1981,7.669432220406971,29.595234083429652
USA,1982,7.683377272006171,29.536509720588533
USA,1983,7.653590382519,29.32551312934772
USA,1984,7.5099350652893735,28.669563230545528
USA,1985,7.476641322292865,28.4338252641094
USA,1986,7.538822650597836,28.558926653850456
USA,1987,7.496033955721804,28.311751925463017
USA,1988,7.487397283589275,28.26408629952143
USA,1989,7.5758307552683695,28.634407185593904
USA,1990,7.724018561256359,29.254457641726464
USA,1991,7.768623669715968,29.497848835067053
USA,1992,7.655528170032769,29.14203006767586
USA,1993,7.4415306734938484,28.425465560568952
USA,1994,7.214674413184739,27.640036776149593
USA,1995,7.036609542391634,26.992789112460805
USA,1996,6.871664800878012,26.36045583885533
USA,1997,6.756811239028426,25.997993931446747
USA,1998,6.690819351142621,25.887158213185927
USA,1999,6.65224812252197,25.869280236529196
USA,2000,6.663941473880515,26.044396251451406
USA,2001,6.789751245200704,26.66213506170982
USA,2002,6.81254715523803,26.877638730123472
USA,2003,6.716891983879473,26.62762963927376
USA,2004,6.707183446235787,26.734972249546416
USA,2005,6.667861153656885,26.735021093691092
USA,2006,6.62798247412471,26.730209131814163
USA,2007,6.681636389071413,27.135064655466895
USA,2008,6.694108613725121,27.41130859893611
USA,2009,6.5212820235013105,26.92890307906444
USA,2010,6.31864812372295,26.32713375642838
USA,2011,6.229088889334331,26.183026343467652
USA,2012,6.16002863991683,26.099975994678644
USA,2013,6.094251730368958,26.016469047346558
USA,2014,6.067829769735282,26.08981384428334
USA,2015,6.060978081968191,26.224119737410533
USA,2016,6.020913599025405,26.168931955952917
USA,2017,5.942804020416378,25.92238138849482
